LocationID,ARPLatitude,ARPLongitude
'CLP,58-50-01.3000N,158-31-45.8000W
'Z84,64-18-01.4000N,149-06-59.5000W
'CLF,64-15-25.3230N,149-11-10.5010W
'KCC,56-00-53.2940N,132-50-02.1210W
'Z87,55-15-05.8580N,162-45-12.2560W
'CDB,55-12-18.9425N,162-43-28.2778W
'1AK3,56-00-21.5490N,160-33-38.8510W
'CXF,67-15-07.8000N,150-12-14.0000W
'KCR,63-34-03.8030N,155-59-20.5570W
'JLA,60-29-03.3500N,149-43-22.4400W
'Z93,61-56-28.2840N,145-17-38.6910W
'CKU,60-32-37.1200N,145-43-33.0750W
'CDV,60-29-30.4000N,145-28-39.2000W
'AK30,60-23-28.1500N,146-05-50.8700W
'K29,64-53-48.2900N,163-42-12.5950W
'CGA,55-28-43.7930N,133-08-52.0840W
'1AK0,55-28-30.7930N,133-08-45.0830W
'5C5,55-57-30.9200N,133-15-12.1400W
'1AK1,67-22-22.3400N,152-00-57.8800W
'CJX,61-52-04.4000N,158-08-05.8000W
'01AA,62-01-56.9150N,158-14-11.0550W
'1AK2,62-24-03.3910N,146-00-47.8970W
'DCK,66-56-33.2211N,156-53-28.9271W
'AK15,70-20-39.4000N,150-56-41.1000W
'AK78,70-08-14.8800N,147-01-49.5800W
'AA03,70-10-16.6246N,146-15-30.8507W
'SCC,70-11-43.9651N,148-27-56.8444W
'4AK1,70-00-13.7905N,153-04-39.2455W
'37AA,70-08-09.6000N,146-17-24.1000W
'DEE,66-04-08.8000N,162-46-01.4000W
'AK77,63-56-29.1400N,145-25-20.0100W
'9AK4,64-08-14.5000N,145-49-49.4000W
'AK35,64-02-19.9050N,145-44-20.2100W
'45AK,63-57-42.5840N,145-28-12.3310W
'AA22,64-07-58.2900N,145-48-16.1800W
'D66,64-03-00.4200N,145-43-20.8750W
'76AK,64-28-02.8700N,144-55-15.2100W
'29AK,64-02-58.5940N,145-25-08.3700W
'11AK,63-59-58.5810N,145-30-08.3440W
'72AK,64-01-37.5920N,145-40-48.6280W
'AK09,64-02-58.5840N,145-30-08.3670W
'BIG,63-59-42.5771N,145-43-12.0888W
'DLG,59-02-40.8000N,158-30-19.8000W
'AK21,59-07-57.3000N,157-46-37.8500W
'0Z3,59-03-32.3120N,158-34-37.8840W
'DM2,65-45-31.0000N,168-57-11.0000W
'AK23,53-58-16.0000N,166-52-38.0000W
'EAA,64-46-41.1000N,141-08-58.6000W
'D72,61-21-09.0700N,149-32-46.8600W
'47AK,61-17-33.0000N,149-31-57.0000W
'EEK,60-12-49.3000N,162-02-38.0000W
'EII,58-11-07.7650N,157-22-31.5400W
'KKU,58-48-40.2930N,158-33-31.8330W
'KEK,59-21-24.6000N,157-28-16.1000W
'ERO,58-58-15.8110N,135-14-14.5760W
'ELV,58-11-42.6630N,136-20-50.6140W
'ELI,64-36-53.9000N,162-16-13.9000W
'MOS,64-41-53.4550N,162-03-26.2770W
'1Z9,60-53-38.0680N,146-42-13.2910W
'ENM,62-47-10.1000N,164-29-26.7000W
'2Z1,57-24-43.7420N,133-26-22.1960W
'3AK1,61-56-16.7400N,147-10-12.2900W
'2Z2,65-10-33.2810N,150-13-13.9390W
'2Z3,64-02-31.6000N,148-51-47.3000W
'EXI,58-25-13.7950N,135-26-56.5180W
'AK28,64-48-50.5000N,147-55-06.8000W
'2Z5,64-49-58.4380N,147-50-53.7300W
'31AK,64-49-58.4680N,147-25-28.7160W
'EIL,64-39-56.3200N,147-06-05.1800W
'FAI,64-48-54.4000N,147-51-23.2000W
'AK7,64-11-53.0000N,147-55-43.0000W
'32AK,64-54-33.4300N,147-54-50.2600W
'AK22,64-49-18.0000N,147-31-18.0000W
'MTF,64-48-24.4440N,147-45-44.7160W
'AK52,64-53-20.0000N,147-32-08.1400W
'25AA,64-55-43.1700N,147-52-50.0600W
'83AK,65-15-23.4000N,148-49-48.9200W
'1AK9,64-48-55.4370N,147-51-43.7240W
'2AK1,64-21-49.4610N,147-21-49.5290W
'2AK2,64-27-12.4510N,147-33-48.5710W
'FBK,64-50-12.2078N,147-36-58.4046W
'2Z6,57-31-55.7560N,135-12-48.4240W
'KFP,54-50-52.3000N,163-24-25.6000W
'0AA4,62-30-32.8000N,153-53-25.0200W
'FKK,62-32-32.8340N,153-37-21.0360W
'TNW,62-31-55.6400N,153-36-46.0400W
'3Z1,64-49-54.2180N,166-07-53.4800W
'2AK3,57-16-11.7710N,133-37-53.2250W
'FLT,62-27-09.5360N,157-59-20.6520W
'FRN,61-15-57.2375N,149-39-11.9075W
'8AK0,64-49-51.0800N,147-39-37.6400W
'FYU,66-34-20.7000N,145-14-46.8000W
'FNR,58-15-15.7890N,134-53-52.4640W
'GBH,68-28-46.8000N,149-29-23.7000W
'GAL,64-44-10.2000N,156-56-14.6000W
'GAM,63-45-59.8000N,171-43-58.0000W
'AK42,60-58-12.0000N,149-06-05.0000W
'AQY,60-58-08.4800N,149-07-09.6450W
'KGZ,61-27-18.4840N,142-22-51.4230W
'28AK,61-48-31.9560N,147-51-33.6470W
'5AK4,62-01-58.1000N,146-40-29.8800W
'3Z8,59-44-49.3420N,158-52-29.0190W
'GLV,64-33-01.6000N,163-00-25.8000W
'GNU,59-07-04.3000N,161-34-25.2000W
'Z40,61-23-40.7400N,149-50-32.1700W
'GSZ,65-24-07.6800N,161-16-53.3100W
'KGX,62-53-31.5071N,160-03-59.0288W
'GKN,62-09-17.8000N,145-27-15.6000W
'8AK1,62-16-49.0200N,145-21-45.9600W
'GST,58-25-31.0000N,135-42-26.7000W
'18AA,59-18-47.6000N,135-43-23.6000W
'AA35,59-26-15.2000N,136-13-45.7000W
'0AA6,59-24-11.0000N,136-00-49.0000W
'3Z9,59-14-05.8240N,135-26-26.5850W
'HNS,59-14-37.7850N,135-31-24.7350W
'AK74,65-54-17.4890N,163-19-44.7330W
'HWI,58-07-38.7890N,134-45-21.4310W
'7AK7,63-44-18.3550N,148-52-54.2990W
'HRR,63-52-03.3000N,148-58-07.8000W
'AK33,55-48-05.0220N,160-53-57.3160W
'2AK5,60-28-54.0300N,146-35-03.3090W
'2AK6,66-10-34.0800N,155-41-05.3400W
'HYL,55-29-25.5000N,132-37-24.8000W
'HCA,62-11-17.9000N,159-46-29.8000W
'46AK,59-44-17.8400N,151-01-47.6190W
'2AK4,59-28-12.0000N,151-30-45.0000W
'0AK7,59-46-33.8500N,150-57-30.6500W
'AK18,59-49-42.7770N,153-04-50.9690W
'98AK,59-46-33.0300N,151-10-53.8700W
'AK17,59-45-48.8330N,151-13-23.6710W
'HOM,59-38-41.9854N,151-29-08.9105W
'5BL,59-38-29.6000N,151-31-16.0600W
'4AA4,59-39-08.1400N,151-33-00.0000W
'OOH,58-06-43.7740N,135-27-06.4980W
'HNH,58-05-46.3170N,135-24-31.5225W
'HPB,61-31-25.9000N,166-08-47.8000W
'5HO,60-54-26.1450N,149-37-22.1250W
'4Z5,62-00-26.0400N,141-10-55.6100W
